Company Name,Role,Base,CTC
Siemens,,,11
OnlineSales.ai,,,11
Jindal Stainless,Graduate Engineer Trainee (GET),,11
Hindustan Uniliver Limited,,,11
Energy Exemplar,Software Developement ,,11
Energy Exemplar,,,11
Econship,Operation Executive (NVOCC Industry),,11
Dover,Software Engineer,,11
Cashfree Payments,DevOps ,,11
Altometa,,,11
Eurofins,Associate Software Engineer,,10.75
Delta Electronics India Pvt. Ltd,Enginner,9.16,10.61
nVent,,,10.56
IDeaS - A SAS Company (Associate Software Developer),,,10.5
TIAA,,,10.48
Conga,,,10.44
Thomson Digital,Tutor,10,10
Prism Johnson Limited,Assistant Manager - Commercial & Special Projects,10,10
Nihilent,AI/ML Engineer,10,10
Nihilent,Data Engineer,10,10
Nihilent,Cloud Engineer,10,10
Evalueserve,Multiple Profiles,10,10
Edhitch,Deep Learning Engineer,10,10
Edhitch,Data Scientist,10,10
Edhitch,Software Developer,10,10
Telstra,,9.43,10
Leumas,Supply Chain Management & Operations Lead,9.4,10
Oracle,Associate Consultant,9.34,10
SRF,Design Trainee,9.2,10
Nayara Energy,Graduate Engineer,9.09,10
Next Education,Engineer- Software,9.02,10
"Octro Inc.,",Member of Technical Staff (Eq to Data engineer),9,10
Nine Education,Senior Faculty,9,10
Jindal Steel & Power Limited,GET (Graduate Engineer Trainee),9,10
Citymall,Data Analyst,9,10
Bizacuity Solutions Pvt. Ltd.,Software Engineer,9,10
Tejas Networks,NMS,8.97,10
Tejas Networks,Hardware,8.97,10
Nagarro,Multiple Profiles,8.83,10
Jar App,Data Analyst,8.1,10
TREDENCE,Data Engineering,8,10
snapmint,Data Analyst,8,10
QuriousBit Games Private Limited,Associate Business Analyst,8,10
Pursuit Software,Software Development,8,10
Leumas,Mechanical Engineering Robotics,8,10
Leumas,Embedded Robotics Engineer,8,10
Beghou Consulting,Associate,8,10
Cyfuture India Pvt. Ltd.,Associate Software Engineer_AIML,7.85,10
Cyfuture India Pvt. Ltd.,Associate Software Engineer (Trainee),7.85,10
Cyfuture India Pvt. Ltd.,Solution Architect (Trainee),7.85,10
Cyfuture India Pvt. Ltd.,Cloud Support Engineer (Trainee),7.85,10
Frinks AI,Software Engineer,7,10
UnORG Vendor Solutions Private Limited,Associate Profit Centre Head,6,10
Consuma Technologies Pvt. Ltd.,Analyst,6,10
Bluebird,Software Engineer,6,10
Zoomcar,DevOps ,,10
Zensar,,,10
Whirpool,,,10
UST,,,10
UPL,NextGen ,,10
UPL,Automation Engineer,,10
Tejas Networks,Software ,,10
ST Telemedia,,,10
SEDEMAC Mechatronics,,,10
SAS,,,10
Philips,,,10
IDfy,,,10
GKN Aerospace,Graduate Trainee,,10
Cummins,,,10
CloudLex,,,10
Broadridge,,,10
Bizom,Product Trainee,,10
Azentio,Software Development Engineer in Test,,10
Avegen,,,10
Signify Innovations India Ltd. (Cooper Lighting Solutions),,,9.87
Maruti Suzuki India Ltd.,Graduate Engineer Trainee,7.75,9.56
Pentair Water India,"Trainee Associate Engineer, Water Chemistry Lab",8.5,9.5
Havells India Limited ,Power Electronics and Solar Roles,7,9.5
Oracle Financial Services,,,9.5
Infosys,Specialist Programmer,,9.5
Infosys,,,9.5
Oracle 2,,,9.34
QBit Labs,R&D Engineer Trainee (DSP),8.73,9.33
Chaitanya's Academy,Trainee Faculty,7.2,9.2
FN Mathlogic,Analyst,7,9.1
Tata Consultancy Services,Multiple Profiles,,9.08
E Ring,Software Engineer I,9,9
TVS Motors,Senior Engineer,8.39,9
Decimal Point Analytics,SDE,8.1,9
PeopleBox,Software Engineer,8,9
The Digital Fifth,Analyst,,9
TCS R&1,,,9
Tata Consultancy Services,Systems Engineer,,9
Principal Global,,,9
Oro Labs.AI Dev,,,9
OneSubsea,,,9
Metro GSC,,,9
Jones Lang Lasalle Technologies,,,9
HummingBird Web Solutions,,,9
HSBC,,,9
Flex Trade,,,9
Emplay,Associate Data Scientist,,9
Eaton Supply Chain Management,,,9
Bhoomi Software,,,9
Bentley Systems,,,9
Altizon,,,9
Gensol EPC (Blusmart),,,8.85
EY India,,7.5,8.59
Merkle,Software Engineer,7,8.5
Merkle,Analyst,7,8.5
Quantiphi,Multiple Profiles,6.5,8.5
Quantiphi,Business Analyst,,8.5
Quantiphi,Framework Engineer,,8.5
Quantiphi,Machine Learning Engineer,,8.5
Quantiphi,,,8.5
Merilytics,,,8.5
HelpShift,,,8.5
Aptiv,,,8.5
AstraZeneca,,,8.43
Resonance Hyderabad,Trainee Faculty,7.56,8.4
ICICI Bank,Software Engineer,,8.3
Nibrus Technologies,Software Engineer ,6.5,8.2
HashedIn Technologies,,,8.1
Mygate,Associate Software Engineer,8,8
Maven Magnets,Data Scientist,8,8
Jindal Power,GET,8,8
ITS Planners and Engineers Private Limited,Hardware Engineering,8,8
ITS Planners and Engineers Private Limited,Multiple Profiles,8,8
Easy Insights,Frontend Developer,8,8
Easy Insights,Product Marketing Associate,8,8
Easy Insights,Data Engineer,8,8
DOMO,Production Engineer / Operators,8,8
Husk Power Systems,Embedded Engineer,7.2,8
Air Liquide Global E&C Solution India,Trainee Engineer,7.1,8
Transorg Analytics,Data Analyst,7,8
Krazybee Services,Software Engineer,7,8
ITS Planners and Engineers Private Limited,Data Scientist,7,8
Empyreal Galaxy,Software Engineer,7,8
Decision Point,Business Analyst,7,8
Decision Point,Data Scientist,7,8
JSW Group,Graduate Engineer Trainee,6.8,8
Sunstone Education Technology Private Limited,Graduate Trainee,6.5,8
AMG Technologies LLP (Edu-versity),Business Development Specialist,6.5,8
Raam Group,Management Trainee,6,8
Ichelon Consulting Group,Entrepreneur In Residence (EIR),6,8
Acengage,Data Scientist,6,8
Morphle Labs,Software Testing ,5,8
Consilio,Associate,5,8
Wissen technology,,,8
Tyfone,Software Engineer,,8
Think41,,,8
Shadowfax,,,8
Sedemac,,,8
Rockwell,,,8
Rackware Automation,,,8
Promobi,,,8
Principal Global,,,8
Panzura,,,8
O9 Solutions,SDET ,,8
Nihilent,,,8
Nice Systems,,,8
Nice,,,8
National Petroleum Construction Company (NPCC),,,8
Meeraq,Software ,,8
Media.net,Web Application Developer,,8
Mahindra and Mahindra,Graduate and Post Graduate Engineer Trainee,,8
Kylas,,,8
KreditBee,Software Engineer,,8
KPMG,Consultant ,,8
HP,GIT Role,,8
Honeywell,,,8
Esyasoft Technologies,Software Engineer Trainee,,8
EPAM,Junior Software Engineer,,8
Emerson,,,8
Embitel Technologies,Trainee Engineer,,8
Digital.ai,,,8
Crestron,,,8
ConSecure ,Software Engineer (Next-Gen Cybersecurity),,8
Colgate,Data Analysis,,8
Ciklum,,,8
CerenceAl,,,8
Celstream,Software Engineer,,8
Bounteous x Accolite,,,8
BlackBuck,Associate Software Engineer,,8
Bizom,Presales,,8
Mahanagar Gas Limited,,,7.8
Dassault Systems,,,7.8
Godrej & Boyce,,,7.75
RSM USI,,,7.7
Delloite USI,Consulting Analyst,6,7.6
Delloite India,HC HRT,6,7.6
Delloite India,QE,6,7.6
Delloite India,ADMM,6,7.6
Delloite India,M&C,6,7.6
Delloite India,ET&P SAP,6,7.6
Delloite India,FT GBS,6,7.6
Delloite India,ET&P Oracle,6,7.6
K12 Techno Services Pvt. Ltd.,Academic Manager- OCFP (ORCHIDS Career Foundation,7.5,7.5
Vimo,Automation QA,7.2,7.5
Volvo,Associate Graduate Engineer,,7.5
Tata Power,,,7.5
Sell.do,,,7.5
Schlumberger (SLB),,,7.5
Reliance Industries Ltd,,,7.5
Rahi Technolgies,,,7.5
Quorum,,,7.5
IdeaS- A SAS Company ( Product Success Specialist ),,,7.5
Bizom,Business Development Manager,,7.5
HP,Managed Services,,7.48
Oracle,,,7.27
AAKASH Educational Institute,Asst Lecturer,7.25,7.25
Sun Life,Gradute Engineer Trainee,,7.25
Axis IIT/NEET,Marketing(Marketing and Management),5.4,7.2
Axis IIT/NEET,Trainee Faculty,5.4,7.2
Winman Software,Software Engineer - L1,3.75,7.2
Narayan Group of Education,Associate Trainee,,7.2
Evam Labs,,,7.2
Evam Labs,DS/DE/FS/UI,,7.2
Wynum Automation,,,7.1
Xindus Technologies,"QA Engineer, Frontend and Backend Dev Trainee",7,7
Skyroot Aerospace,Engineer,7,7
K12 Techno Services Pvt. Ltd.,OCFP Faculty,7,7
Ideametrics,R&D Engineer- New Product Development,7,7
Dimensionless.ai,Full Stack Developer,7,7
PhData,Consultant,6.39,7
Ex Navodayan Foundation,Teaching Faculty,6.3,7
Star Alucast,Junior Metallurgist,6.22,7
Webknot Technologies,Software Developer Trainee,6,7
Robust Results Private Limited,Junior Physics Faculty,6,7
Robust Results Private Limited,Junior Chemistry Faculty,6,7
Robust Results Private Limited,Junior Maths Faculty,6,7
Robust Results Private Limited,Software Developer,6,7
KPMG,GRCS Telecom,6,7
Ajax Engineering,Graduate Engineer Trainee (GET),6,7
KPMG,Digital Trust,5,7
KPMG, Analyst,5,7
Xceedance,,,7
Tyfone,QA Engineer,,7
Tudip Technologies,Associate Software Engineer,,7
Think 41,Full Stack Engineer,,7
Ria Advisory,,,7
Rhythmflow,,,7
PayU,,,7
Oro Labs. AΙ,,,7
Ninjacart,Tech ,,7
Incubyte,,,7
Hourglass,,,7
Honeywell,,,7
Fractal analytics,,,7
Equifax,,,7
Entrata,,,7
EMIDS,Associate Software Engineer,,7
Cencora,,,7
Bizom,Sales Developement Representative,,7
Avaada,Graduate Engineering Trainee,,7
Accelya,,,7
7-Eleven GSC,Cybersecurity ,,7
(NTT solutions)SAP,,,7
CALDERYS,Graduate Engineer Trainee,6,6.9
NCS Technologies,,,6.82
Cognizant GenC Next,,,6.75
Larson & Toubro,,,6.72
Arya.ag,ASDE,5.45,6.6
Siemens Limited,,,6.6
Greenway Health India,Associate Software Engineer,5.5,6.5
Field Genie Pvt. Ltd.,AI Architect,5.25,6.5
L7 Informatics,,3.25,6.5
Technip Energies,,,6.5
Technimont,,,6.5
Techbulls SoftTech,,,6.5
Qualys,,,6.5
Johnson Control,,,6.5
Hyosung T&D India,,,6.5
Faurecia Forvia,,,6.5
EY,Senior Analyst,,6.5
Cognizant,GenC,,6.5
Burns & Mcdonnell,,,6.5
Atlas Copco Gecia,,,6.5
Afcons,,,6.5
Adani Group,,,6.5
GW DeepConnect Technlogies,Software Engineer,5,6.48
Siemens Energy,,,6.38
Columbia Sportswear Company,Software Engineer Trainee,,6.26
Textron,,,6.25
CCTech,,,6.2
Sgurr Energy,,,6.1
HomeVille,FullStack Developer,,6.1
SRI CHAITANYA EDUCATIONAL INSTITUTIONS,ASSOCIATIVE LECTURER IN MATHS/PHYSICS/CHEMISTRY,6,6
Infinity Learn,Faculty,6,6
C2L BIZ SOLUTIONS PVT LTD,Trainee Solution Architect,6,6
Aspire IIT & Medical,Physics Faculty; Chemistry Faculty; Mathematics Fa,6,6
AAA Global,Recruitment Analyst,5.98,6
ALLEN CARRIER INSTT.,Trainee Faculty,5.55,6
Bakliwal Tutorials,Trainee Faculty,5.4,6
CreditAccess Grameen Limited,Data Analyst,5.2,6
Snapmint,Junior Analyst,5,6
Cubic Logics,Software Development Engineer,4.5,6
Tsalla Aerospace,Junior Engineer,4.2,6
BCE Global Tech,Dev,4,6
Walter P Moore,,,6
Wafer Space (An ACL Digital Company),,,6
Vayavya Lab,,,6
Siemens,Multiple Profiles,,6
SecPod,Test automation Engineer,,6
Nouveau Labs,Software Engineer,,6
miniOrange,,,6
Man Truck,,,6
L&T,Graduate Engineer Trainee,,6
Jacobs,,,6
